Year,Area,Street,Street 2
2011,,Broadgate,Broadgate
2011,,Bull̴Yard,Bull Yard
2011,,Bushberry̴Avenue,Bushberry Avenue
2011,,butts̴road̴Coventry,butts road Coventry
2011,,cashs̴lane,cashs lane
2011,,Cauldon̴road,Cauldon road
2011,,Charter̴Ave,Charter Ave
2011,,charter̴ave̴Coventry,charter ave Coventry
2011,,Chester̴Street,Chester Street
2011,,Chesterton̴Road,Chesterton Road
2011,," Cheveral̴Ave,̴Coventry"," Cheveral Ave, Coventry"
2011,,Cliffbridge̴Road,Cliffbridge Road
2011,," Clifton̴St̴,Coventry."," Clifton St ,Coventry."
2011,,Coc̴street,Coc street
2011,," Communal̴landing̴at̴George̴Poole̴House,̴Coventry"," Communal landing at George Poole House, Coventry"
2011,,Compton̴road,Compton road
2011,,concourse̴near̴mortimers,concourse near mortimers
2011,,cook̴st,cook st
2011,,Corporation̴St,Corporation St
2011,," Corporation̴St̴,Coventry."," Corporation St ,Coventry."
2011,,Corporation̴Street,Corporation Street
2011,,Coundon̴road,Coundon road
2011,,coventry,coventry
2011,,Coventry̴Central̴cells,Coventry Central cells
2011,,Coventry̴Central̴Front̴office,Coventry Central Front office
2011,,coventry̴central̴pol̴stn,coventry central pol stn
2011,,coventry̴central̴police̴station,coventry central police station
2011,,coventry̴central̴police̴station,coventry central police station
2011,,Coventry̴Central̴PS,Coventry Central PS
2011,,Coventry̴Central̴PS,Coventry Central PS
2011,,Coventry̴Railwat̴Station.,Coventry Railwat Station.
2011,,Coventry̴Railway̴Station.,Coventry Railway Station.
2011,,coventry̴train̴station,coventry train station
2011,,Cox̴street,Cox street
2011,,Cross̴Road,Cross Road
2011,,devonshire̴arms,devonshire arms
2011,,duckham̴court,duckham court
2011,,Earlsdon̴High̴Street,Earlsdon High Street
2011,," Elms̴Pub,̴Birmingham̴road"," Elms Pub, Birmingham road"
2011,,fairfax̴street,fairfax street
2011,,far̴gosford̴street,far gosford street
2011,,Far̴Gosford̴Street,Far Gosford Street
2011,,Farndale̴Ave,Farndale Ave
2011,,Farndale̴Ave,Farndale Ave
2011,,Foleshill̴Rd,Foleshill Rd
2011,,Foleshill̴Road,Foleshill Road
2011,,Foleshill̴Road,Foleshill Road
2011,,Foleshill̴Road,Foleshill Road
2011,," Foleshill̴road,̴Coventry"," Foleshill road, Coventry"
2011,," Four̴Pounds̴Ave,̴Coventry"," Four Pounds Ave, Coventry"
2011,,FRiars̴road,FRiars road
2011,,front̴of̴Coventry̴Central̴police̴Station,front of Coventry Central police Station
2011,,Front̴office,Front office
2011,,Front̴Office,Front Office
2011,," Gala̴Bingo,̴Pool̴Meadow"," Gala Bingo, Pool Meadow"
2011,,Gosford̴Street,Gosford Street
2011,,Gosford̴street,Gosford street
2011,,Gosford̴Street,Gosford Street
2011,,greyfriars̴st̴Coventry,greyfriars st Coventry
2011,,gulson̴road̴Coventry,gulson road Coventry
2011,,Gulson̴Road̴Coventry,Gulson Road Coventry
2011,,hale̴st,hale st
2011,," Hales̴Street,̴Coventry"," Hales Street, Coventry"
2011,,Hartfrod̴street,Hartfrod street
2011,,hayle̴street,hayle street
2011,,hayles̴street,hayles street
2011,,Hedgefield̴Way,Hedgefield Way
2011,,herald̴way̴Coventry,herald way Coventry
2011,,high̴st̴Coventry,high st Coventry
2011,,High̴Street,High Street
2011,,High̴Street,High Street
2011,,Hill̴Street,Hill Street
2011,,Hipswell̴Highway,Hipswell Highway
2011,,holmesdale̴road,holmesdale road
2011,,hurst̴Road,hurst Road
2011,,ibis̴hotel,ibis hotel
2011,,Ikea̴Car̴Park,Ikea Car Park
2011,,ikea̴plaza,ikea plaza
2011,,iron̴monger̴row,iron monger row
2011,,jardine̴crescent,jardine crescent
2011,,jardine̴crescent,jardine crescent
2011,,Jasrdine̴Crescent,Jasrdine Crescent
2011,,JD̴Wetherspoon̴Earlsdon,JD Wetherspoon Earlsdon
2011,,Jordan̴Well,Jordan Well
2011,," Jordan̴Well̴,̴Coventry"," Jordan Well , Coventry"
2011,,Jubilee̴cresent,Jubilee cresent
2011,,Kirby̴Road,Kirby Road
2011,,Lady̴Lane,Lady Lane
2011,,Lambeth̴Close,Lambeth Close
2011,,Leader̴Close,Leader Close
2011,,Lidice̴Place,Lidice Place
2011,," Lincoln̴Street̴,Coventry"," Lincoln Street ,Coventry"
2011,,Littl̴Park̴Street,Littl Park Street
2011,," Little̴park̴st̴,Coventry."," Little park st ,Coventry."
2011,," Little̴Park̴St̴,Coventry."," Little Park St ,Coventry."
2011,,little̴park̴st̴Coventry,little park st Coventry
2011,,Little̴Park̴Street,Little Park Street
2011,,Little̴Park̴Street,Little Park Street
2011,,Little̴Park̴street,Little Park street
2011,,little̴park̴street,little park street
2011,,Little̴Park̴Street,Little Park Street
2011,,Little̴Park̴Street,Little Park Street
2011,,Little̴Park̴Street,Little Park Street
2011,,Little̴Park̴Street,Little Park Street
2011,,little̴park̴street,little park street
2011,,London̴Road,London Road
2011,,London̴Road,London Road
2011,,Longford̴Road,Longford Road
2011,,Lower̴Ford̴st,Lower Ford st
2011,,lower̴ford̴street,lower ford street
2011,,lower̴holyhead̴d̴jtn̴with̴spon̴st,lower holyhead d jtn with spon st
2011,,lower̴holyhead̴rd̴Coventry,lower holyhead rd Coventry
2011,,lower̴holyhead̴road̴Coventry,lower holyhead road Coventry
2011,,Lower̴Precinct̴Coventry,Lower Precinct Coventry
2011,,MAFO,MAFO
2011,,Manor̴house̴drive,Manor house drive
2011,,Market̴Way,Market Way
2011,,mary̴slessor̴st,mary slessor st
2011,,masser̴road,masser road
2011,," McDonalds̴Restaurant̴A45̴,Coventry."," McDonalds Restaurant A45 ,Coventry."
2011,," Memorial̴Park,̴Coventry"," Memorial Park, Coventry"
2011,,Middle̴Ride,Middle Ride
2011,,Mile̴Lane,Mile Lane
2011,,Mile̴lane,Mile lane
2011,,Millenium̴Place,Millenium Place
2011,,Millenium̴Place,Millenium Place
2011,," Mint̴Casino,̴King̴William̴Street"," Mint Casino, King William Street"
2011,,Miranda̴Close,Miranda Close
2011,,morris̴road,morris road
2011,,motor̴museum,motor museum
2011,,new̴union̴st,new union st
2011,,Norman̴place̴road,Norman place road
2011,,Northy̴Road,Northy Road
2011,,o/s̴CCFO,o/s CCFO
2011,,o/s̴coventry̴central̴police̴station,o/s coventry central police station
2011,,o/s̴Gosford̴Arms,o/s Gosford Arms
2011,,Oak̴Gosford̴Street,Oak Gosford Street
2011,,Outside̴Coventry̴Central̴PS,Outside Coventry Central PS
2011,,Outside̴Foleshill̴PS,Outside Foleshill PS
2011,,Outside̴front̴of̴Coventry̴Central̴Police̴Station.,Outside front of Coventry Central Police Station.
2011,,Outside̴heat̴Bar,Outside heat Bar
2011,,outside̴kasbars,outside kasbars
2011,," Outside̴of̴the̴Jewson̴Stand,̴Richo̴arena,̴Coventry"," Outside of the Jewson Stand, Richo arena, Coventry"
2011,,owenford̴road,owenford road
2011,," Palm̴Tree̴Ave,̴Wood̴End"," Palm Tree Ave, Wood End"
2011,," Palmer̴Lane̴,̴Coventry."," Palmer Lane , Coventry."
2011,," Palmer̴Lane̴,̴Coventry."," Palmer Lane , Coventry."
2011,," Palmer̴Lane̴,̴Coventry."," Palmer Lane , Coventry."
2011,," Penruddick̴Drive,̴Coventry"," Penruddick Drive, Coventry"
2011,,Plymouth̴close,Plymouth close
2011,,pool̴meadow,pool meadow
2011,,Pool̴Meadow̴Bus̴Station,Pool Meadow Bus Station
2011,,pool̴meadow̴bus̴stn,pool meadow bus stn
2011,,Poolmeadow,Poolmeadow
2011,,Poolmeadow̴bus̴station,Poolmeadow bus station
2011,,Poolmeadow̴bus̴station,Poolmeadow bus station
2011,," Poppy̴Court,̴Remembrance̴Road,̴Willenhall,̴Coventry"," Poppy Court, Remembrance Road, Willenhall, Coventry"
2011,,Primrose̴Hill̴St,Primrose Hill St
2011,,Primrose̴Hill̴Street,Primrose Hill Street
2011,,Primrose̴Hill̴Street,Primrose Hill Street
2011,," Primrose̴Hill̴Street̴,Coventry."," Primrose Hill Street ,Coventry."
2011,,Princethorpe̴way,Princethorpe way
2011,," Priory̴Fields,̴Coventry"," Priory Fields, Coventry"
2011,,Priory̴Gardens,Priory Gardens
2011,,Priory̴Street,Priory Street
2011,,puma̴way,puma way
2011,," Queen̴Mary's̴Road̴,Foleshill̴,Coventry."," Queen Mary's Road ,Foleshill ,Coventry."
2011,,queen̴marys̴road̴Coventry,queen marys road Coventry
2011,,Queen̴Victoria̴Road,Queen Victoria Road
2011,,Radford̴Road,Radford Road
2011,,Radford̴road,Radford road
2011,,raglan̴street,raglan street
2011,,Red̴lane,Red lane
2011,,Remembrance̴Road,Remembrance Road
2011,,richo̴areana,richo areana
2011,,richo̴areana,richo areana
2011,," Richo̴arena,̴Coventry"," Richo arena, Coventry"
2011,,Ricoh̴Arena,Ricoh Arena
2011,,Ricoh̴Arena,Ricoh Arena
2011,,Ricoh̴Arena,Ricoh Arena
2011,," Ridgethorpe,̴Willenhall,̴Coventry"," Ridgethorpe, Willenhall, Coventry"
2011,," Rileys̴Square,̴Bell̴Green"," Rileys Square, Bell Green"
2011,,Ring̴Rd,Ring Rd
2011,,Riverwalk̴Walk̴Wood̴End,Riverwalk Walk Wood End
2011,," Roland̴Avenue̴,Holbrooks̴,Coventry."," Roland Avenue ,Holbrooks ,Coventry."
2011,,rotherhanm̴road,rotherhanm road
2011,," Sainsburys̴,Trinity̴St̴,Coventry."," Sainsburys ,Trinity St ,Coventry."
2011,,Scots̴Lane,Scots Lane
2011,,Sewall̴Highway,Sewall Highway
2011,,sewall̴highway,sewall highway
2011,,sewall̴highway̴Coventry,sewall highway Coventry
2011,," Silver̴Street̴,Coventry."," Silver Street ,Coventry."
2011,,Sky̴Blue̴Way,Sky Blue Way
2011,,sky̴dome,sky dome
2011,,sky̴dome,sky dome
2011,,sky̴dome,sky dome
2011,,sky̴dome,sky dome
2011,,sky̴dome,sky dome
2011,,sky̴dome,sky dome
2011,,Sky̴dome,Sky dome
2011,,Sky̴dome,Sky dome
2011,,Sky̴Dome̴Concourse,Sky Dome Concourse
2011,,Sky̴Dome̴Concourse,Sky Dome Concourse
2011,,Sky̴Dome̴Concourse,Sky Dome Concourse
2011,,sky̴dome̴concourse,sky dome concourse
2011,,sky̴dome̴concourse,sky dome concourse
2011,,sky̴dome̴concourse̴Covenmtry,sky dome concourse Covenmtry
2011,,sky̴dome̴concourse̴Coventry,sky dome concourse Coventry
2011,,Sky̴Dome̴concourse.,Sky Dome concourse.
2011,," Sky̴Dome,̴Coventry"," Sky Dome, Coventry"
2011,," Sky̴Dome,̴Coventry̴City̴centre"," Sky Dome, Coventry City centre"
2011,,Sky̴Dome.,Sky Dome.
2011,,sky̴dome.,sky dome.
2011,,sky̴dome.,sky dome.
2011,,Skydome,Skydome
2011,,Skydome,Skydome
2011,,skydome,skydome
2011,,Skydome,Skydome
2011,,Skydome,Skydome
2011,,Skydome,Skydome
2011,," Skydome̴,̴Coventry."," Skydome , Coventry."
2011,,Skydome̴Car̴Park,Skydome Car Park
2011,,Skydome̴Car̴Park,Skydome Car Park
2011,,Skydome̴complex,Skydome complex
2011,,Skydome̴Complex,Skydome Complex
2011,,skydome̴complex,skydome complex
2011,," Skydome̴Complex,̴Coventry"," Skydome Complex, Coventry"
2011,,Skydome̴concourse,Skydome concourse
2011,,Skydome̴concourse,Skydome concourse
2011,,Skydome̴concourse,Skydome concourse
2011,,Skydome̴Concourse,Skydome Concourse
2011,,Skydome̴Concourse,Skydome Concourse
2011,,Skydome̴Concourse,Skydome Concourse
2011,,Skydome̴concourse,Skydome concourse
2011,,Skydome̴concourse,Skydome concourse
2011,,skydome̴concourse,skydome concourse
2011,,Skydome̴concourse,Skydome concourse
2011,,Skydome̴concourse,Skydome concourse
2011,,Skydome̴concourse,Skydome concourse
2011,,Skydome̴Concourse,Skydome Concourse
2011,,Skydome̴Concourse,Skydome Concourse
2011,,Skydome̴concourse,Skydome concourse
2011,," Skydome̴concourse̴,Coventry"," Skydome concourse ,Coventry"
2011,,Skydome̴concourse...,Skydome concourse...
2011,,skydome̴Coventry,skydome Coventry
2011,,Skydome̴Coventry,Skydome Coventry
2011,,Skydome̴Coventry̴City̴Centre,Skydome Coventry City Centre
2011,," SkyDome,̴Coventry"," SkyDome, Coventry"
2011,," Skydome,̴Coventry"," Skydome, Coventry"
2011,,sorell̴Close,sorell Close
2011,," Southbank̴Road̴,Coventry."," Southbank Road ,Coventry."
2011,,spom̴st̴coventry,spom st coventry
2011,,Spon̴End,Spon End
2011,," Spon̴End,̴Coventry"," Spon End, Coventry"
2011,," Spon̴St̴,Coventry"," Spon St ,Coventry"
2011,," Spon̴St̴,Coventry."," Spon St ,Coventry."
2011,,SPON̴ST̴Coventry,SPON ST Coventry
2011,,spon̴st̴Coventry,spon st Coventry
2011,,spon̴st̴Coventry,spon st Coventry
2011,,spon̴st̴Coventry,spon st Coventry
2011,,spon̴st̴Coventry,spon st Coventry
2011,,spon̴st̴Coventry,spon st Coventry
2011,,spon̴st̴Coventry,spon st Coventry
2011,,Spon̴street,Spon street
2011,,Spon̴STreet,Spon STreet
2011,,Spon̴Street,Spon Street
2011,,spon̴street,spon street
2011,,spon̴street,spon street
2011,,Spon̴STreet,Spon STreet
2011,,St̴georges̴road,St georges road
2011,," St̴Georges̴Road,̴Stoke"," St Georges Road, Stoke"
2011,,St̴Lukes̴Road̴Coventry,St Lukes Road Coventry
2011,,Stonet̴Stanton̴Road̴Police̴Station,Stonet Stanton Road Police Station
2011,," Stoney̴Stanton̴Road̴Police̴Station,̴Coventry"," Stoney Stanton Road Police Station, Coventry"
2011,,Swanswell̴Park,Swanswell Park
2011,,Tachbrook̴Close,Tachbrook Close
2011,," Tarquin̴Close,̴Coventry"," Tarquin Close, Coventry"
2011,,Terry̴Road,Terry Road
2011,," Terry̴Road,̴Coventry"," Terry Road, Coventry"
2011,,The̴Bull̴Yard̴City̴Centre,The Bull Yard City Centre
2011,,The̴Bullyard,The Bullyard
2011,,The̴Burges,The Burges
2011,,The̴Burgess,The Burgess
2011,,The̴Burgess,The Burgess
2011,,the̴burgess,the burgess
2011,,the̴butts̴Coventry,the butts Coventry
2011,,The̴Butts̴Retreat̴PH,The Butts Retreat PH
2011,,The̴Croft̴Longford,The Croft Longford
2011,," The̴Forum̴medical̴centre,̴Coventry"," The Forum medical centre, Coventry"
2011,,Thimbler̴Road,Thimbler Road
2011,,tile̴hill̴lane̴coventry,tile hill lane coventry
2011,,Torrington̴Avenue,Torrington Avenue
2011,,Trinity̴point̴Link,Trinity point Link
2011,,trinity̴street,trinity street
2011,,trinity̴street,trinity street
2011,,Trinity̴Street,Trinity Street
2011,,trinity̴street̴city̴centre̴coventry,trinity street city centre coventry
2011,,University̴Hospital,University Hospital
2011,,University̴Hospital,University Hospital
2011,,University̴Hospital̴Coventry,University Hospital Coventry
2011,," Unniversity̴of̴Warwick,̴Coventry"," Unniversity of Warwick, Coventry"
2011,,upper̴spon̴st,upper spon st
2011,,Vine̴Street,Vine Street
2011,,Vine̴Street,Vine Street
2011,,Vinecote̴Road,Vinecote Road
2011,,Wallace̴Rd,Wallace Rd
2011,,Walsgrave̴hospital,Walsgrave hospital
2011,,Warwick̴Row,Warwick Row
2011,,Warwick̴university,Warwick university
2011,,West̴Orchard,West Orchard
2011,,West̴Orchards̴Circulatory̴Road,West Orchards Circulatory Road
2011,,White̴street,White street
2011,,willenhall̴lane̴coventry,willenhall lane coventry
2011,,Willenhall̴Police̴Station̴Front̴Office,Willenhall Police Station Front Office
2011,,Willenhall̴PS,Willenhall PS
2011,,Winnalthorpe,Winnalthorpe
2011,,wood̴way̴lane̴Coventry,wood way lane Coventry
2011,,Wroxall̴Drive,Wroxall Drive
2011,,Wroxhall̴Drive,Wroxhall Drive
2011,Dudley,albion̴street̴brierley̴hill,albion street brierley hill
2011,,Amblecote̴High̴Street̴Stourbridge,Amblecote High Street Stourbridge
2011,,Arley̴Court,Arley Court
2011,,Baptist̴End̴Road̴Netherton.,Baptist End Road Netherton.
2011,," Bell̴St,̴Stourbridge"," Bell St, Stourbridge"
2011,,bell̴street,bell street
2011,," Bell̴Street,Stourbridge"," Bell Street,Stourbridge"
2011,,BHPS,BHPS
2011,," Birmingham̴Street,̴Stourbridge"," Birmingham Street, Stourbridge"
2011,,Bramford̴Arms,Bramford Arms
2011,,Brettle̴Lane,Brettle Lane
2011,,Brickhouse̴Road,Brickhouse Road
2011,," Brisbane̴Road,̴Smethwick"," Brisbane Road, Smethwick"
2011,,Broadway̴Stourbridge,Broadway Stourbridge
2011,," Broadway,̴Stourbridge"," Broadway, Stourbridge"
2011,," Broadway,̴Stourbridge"," Broadway, Stourbridge"
2011,," Burmese̴Way,̴Rowley̴Regis"," Burmese Way, Rowley Regis"
2011,," Bus̴station,̴dudley"," Bus station, dudley"
2011,,Carpark̴of̴Maybrook̴Hosue̴in̴Halesowen,Carpark of Maybrook Hosue in Halesowen
2011,,Carpark̴of̴the̴Barley̴Mow̴̴High̴Street̴Wollaston,Carpark of the Barley Mow  High Street Wollaston
2011,,castlegate̴dudley,castlegate dudley
2011,,Cinder̴Bank̴Island̴Netherton,Cinder Bank Island Netherton
2011,,Court̴St,Court St
2011,," Courthouse̴PH,̴sedgeley"," Courthouse PH, sedgeley"
2011,,Crabmill̴carpark̴Oldswinford,Crabmill carpark Oldswinford
2011,,Crompton̴Road,Crompton Road
2011,," Crown̴Centre,̴stourbridge"," Crown Centre, stourbridge"
2011,,Dudley̴Bus̴Station,Dudley Bus Station
2011,,dudley̴Police̴Station,dudley Police Station
2011,,dudley̴road,dudley road
2011,," Dudley̴Road,̴Brierley̴Hill"," Dudley Road, Brierley Hill"
2011,," Edward̴Rutland̴PH,̴High̴Street,̴Stourbridge"," Edward Rutland PH, High Street, Stourbridge"
2011,,Enville̴Road,Enville Road
2011,,Fern̴Rd,Fern Rd
2011,," Foster̴Street,Stourbridge"," Foster Street,Stourbridge"
2011,,Front̴Office̴BHPS,Front Office BHPS
2011,," Front̴office,̴Stourbridge"," Front office, Stourbridge"
2011,," Front̴Office,̴Stourbridge̴Police̴station."," Front Office, Stourbridge Police station."
2011,,Hagley̴Road,Hagley Road
2011,," Halesowen̴Rd,̴Netherton"," Halesowen Rd, Netherton"
2011,,halesowen̴town̴centre,halesowen town centre
2011,," Hampden̴Close,Quarry̴Bank"," Hampden Close,Quarry Bank"
2011,," Hereford̴Road,̴Netherton"," Hereford Road, Netherton"
2011,,High̴St̴Stourbridge,High St Stourbridge
2011,,high̴st̴stourbridge,high st stourbridge
2011,,high̴st̴stourbridge,high st stourbridge
2011,,high̴st̴stourbridge,high st stourbridge
2011,," High̴St,̴Dudley"," High St, Dudley"
2011,," High̴St,̴Sedgely"," High St, Sedgely"
2011,," High̴St,̴Stourbridge"," High St, Stourbridge"
2011,," High̴St,̴Stourbridge"," High St, Stourbridge"
2011,," High̴St,̴Stourbridge"," High St, Stourbridge"
2011,," High̴St,̴Stourbridge"," High St, Stourbridge"
2011,," High̴St,̴Stourbridge"," High St, Stourbridge"
2011,,High̴Street,High Street
2011,,High̴Street,High Street
2011,,High̴Street,High Street
2011,," High̴Street̴,̴Brierley̴Hill"," High Street , Brierley Hill"
2011,,High̴Street̴BlackHeath,High Street BlackHeath
2011,,High̴Street̴quarry̴bank,High Street quarry bank
2011,,high̴street̴stourbridge,high street stourbridge
2011,,High̴Street̴Stourbridge,High Street Stourbridge
2011,,High̴Street̴Stourbridge,High Street Stourbridge
2011,,High̴Street̴Stourbridge.,High Street Stourbridge.
2011,,High̴Street̴West̴Bromwich,High Street West Bromwich
2011,," High̴Street,̴Amblecote"," High Street, Amblecote"
2011,," High̴Street,̴Smethwick"," High Street, Smethwick"
2011,," High̴Street,̴Stourbridge"," High Street, Stourbridge"
2011,," high̴Street,̴Stourbridge"," high Street, Stourbridge"
2011,," High̴Street,̴Stourbridge"," High Street, Stourbridge"
2011,," high̴Street,̴Stourbridge"," high Street, Stourbridge"
2011,," High̴Street,̴Stourbridge"," High Street, Stourbridge"
2011,," High̴Street,̴Stourbridge"," High Street, Stourbridge"
2011,," High̴Street,̴Stourbridge"," High Street, Stourbridge"
2011,," High̴Street,̴Stourbridge"," High Street, Stourbridge"
2011,," High̴Street,Halesowen"," High Street,Halesowen"
2011,," High̴View̴St,̴Dudley"," High View St, Dudley"
2011,," Hilly̴lane,̴Halesowen"," Hilly lane, Halesowen"
2011,," Himley̴Road,Gornal"," Himley Road,Gornal"
2011,,Home̴address,Home address
2011,,Hope̴Tavern̴Netherton,Hope Tavern Netherton
2011,," Hurst̴Rd,̴Oldbury"," Hurst Rd, Oldbury"
2011,," Jackson̴Street,̴Lye"," Jackson Street, Lye"
2011,," KFC,̴Merry̴Hill̴Centre.̴Dudley"," KFC, Merry Hill Centre. Dudley"
2011,,King̴St̴Dudley,King St Dudley
2011,," Kingsley̴Road,Netherton"," Kingsley Road,Netherton"
2011,,Larel̴Lane̴Halesowen,Larel Lane Halesowen
2011,," Little̴Barrel̴PH,̴Dudley"," Little Barrel PH, Dudley"
2011,,Lloyds̴bar̴Stourbridge,Lloyds bar Stourbridge
2011,," Long̴Lane,̴Halesowen"," Long Lane, Halesowen"
2011,," Lower̴Derry̴̴Street,̴Brierley̴Hill"," Lower Derry  Street, Brierley Hill"
2011,," Lower̴High̴Street,̴Stourbridge"," Lower High Street, Stourbridge"
2011,,Lupin̴Road,Lupin Road
2011,,Lye̴high̴St,Lye high St
2011,,market̴street̴kingswinford,market street kingswinford
2011,," Market̴Street,̴Knigswinford."," Market Street, Knigswinford."
2011,," Market̴Street,̴Stourbridge"," Market Street, Stourbridge"
2011,," Market̴Street,̴Stourbridge"," Market Street, Stourbridge"
2011,," Market̴Street,Kingswinford"," Market Street,Kingswinford"
2011,,Marriot̴Road,Marriot Road
2011,,Marriot̴Road,Marriot Road
2011,,Mary̴Stevens̴Park,Mary Stevens Park
2011,,Maybrook̴House̴car̴park̴Halesowen,Maybrook House car park Halesowen
2011,," Meadowfields̴Close,̴Wordsley"," Meadowfields Close, Wordsley"
2011,," Merryhill̴Centre,̴Brierley̴Hill"," Merryhill Centre, Brierley Hill"
2011,," Mill̴Street,Sedgley"," Mill Street,Sedgley"
2011,," Mill̴Street,Sedgley"," Mill Street,Sedgley"
2011,,Moore̴Street,Moore Street
2011,," New̴Rd,̴Dudley"," New Rd, Dudley"
2011,,New̴Road̴Stourbridge,New Road Stourbridge
2011,,New̴Street̴Dudley,New Street Dudley
2011,," Odeon̴Cinema̴,̴Merry̴hill"," Odeon Cinema , Merry hill"
2011,," Odeon̴Cinema̴,̴Merry̴hill"," Odeon Cinema , Merry hill"
